"SchemaName","ObjectName","ObjectType","ColumnOrdinal","ColumnName","SqlType","MaxLength","Precision","Scale","IsNullable"
"dbo","CO00101","USER_TABLE","1","Attachment_ID","char","37","0","0","False"
"dbo","CO00101","USER_TABLE","2","fileName","char","255","0","0","False"
"dbo","CO00101","USER_TABLE","3","Attachment_Description","char","255","0","0","False"
"dbo","CO00101","USER_TABLE","4","CRUSRID","char","15","0","0","False"
"dbo","CO00101","USER_TABLE","5","CREATDDT","datetime","8","23","3","False"
"dbo","CO00101","USER_TABLE","6","CREATETIME","datetime","8","23","3","False"
"dbo","CO00101","USER_TABLE","7","ODESCTN","char","51","0","0","False"
"dbo","CO00101","USER_TABLE","8","View_Attachment","tinyint","1","3","0","False"
"dbo","CO00101","USER_TABLE","9","Internal_Attachment","tinyint","1","3","0","False"
"dbo","CO00101","USER_TABLE","10","Deletable","tinyint","1","3","0","False"
"dbo","CO00101","USER_TABLE","11","Replaced_Attachment","char","37","0","0","False"
"dbo","CO00101","USER_TABLE","12","AttachmentImage","tinyint","1","3","0","False"
"dbo","CO00101","USER_TABLE","13","AttachmentProductDetails","tinyint","1","3","0","False"
"dbo","CO00101","USER_TABLE","14","DEX_ROW_ID","int","4","10","0","False"
"dbo","CO00102","USER_TABLE","1","BusObjKey","char","201","0","0","False"
"dbo","CO00102","USER_TABLE","2","Attachment_ID","char","37","0","0","False"
"dbo","CO00102","USER_TABLE","3","CRUSRID","char","15","0","0","False"
"dbo","CO00102","USER_TABLE","4","CREATDDT","datetime","8","23","3","False"
"dbo","CO00102","USER_TABLE","5","CREATETIME","datetime","8","23","3","False"
"dbo","CO00102","USER_TABLE","6","HISTRX","tinyint","1","3","0","False"
"dbo","CO00102","USER_TABLE","7","AllowAttachmentFlow","smallint","2","5","0","False"
"dbo","CO00102","USER_TABLE","8","DELETE1","tinyint","1","3","0","False"
"dbo","CO00102","USER_TABLE","9","AllowAttachmentEmail","smallint","2","5","0","False"
"dbo","CO00102","USER_TABLE","10","AttachmentOrigin","smallint","2","5","0","False"
"dbo","CO00102","USER_TABLE","11","WorkflowStepInstanceID","char","37","0","0","False"
"dbo","CO00102","USER_TABLE","12","DEX_ROW_ID","int","4","10","0","False"
"dbo","coAttachmentItems","USER_TABLE","1","Attachment_ID","char","37","0","0","False"
"dbo","coAttachmentItems","USER_TABLE","2","BinaryBlob","varbinary","-1","0","0","False"
"dbo","coAttachmentItems","USER_TABLE","3","fileName","char","255","0","0","False"
"dbo","nzbApprovalAdmins","VIEW","1","UserID","char","31","0","0","False"
"dbo","nzbApprovalAdmins","VIEW","2","UserName","char","65","0","0","False"
"dbo","nzbApprovalAdmins","VIEW","3","ADUserID","char","255","0","0","True"
"dbo","nzbApprovalAdmins","VIEW","4","EmailAddress","char","255","0","0","True"
"dbo","nzbApprovalAdmins","VIEW","5","Inactive","varchar","3","0","0","False"
"dbo","nzbPPVSetup","VIEW","1","ApprovalID","char","31","0","0","False"
"dbo","nzbPPVSetup","VIEW","2","ApprovalDescription","char","65","0","0","False"
"dbo","nzbPPVSetup","VIEW","3","MaxDollarVariance","numeric","9","19","5","True"
