"BusObjKey","Attachment_ID","CRUSRID","CREATDDT","CREATETIME","HISTRX","AllowAttachmentFlow","DELETE1","AllowAttachmentEmail","AttachmentOrigin","WorkflowStepInstanceID","DEX_ROW_ID"
"0\BR\Bank Transaction Entry\169962.00000                                                                                                                                                                 ","bcb41f73-b078-4aec-bb7d-a3984940554f ","BrittonF       ","17-Dec-23 12:00:00 AM","01-Jan-00 5:05:00 PM","0","2","0","1","1","                                     ","226723"
"0\BR\Bank Transaction Entry\186604.00000                                                                                                                                                                 ","beb4b545-e25f-4b0a-a5a0-2e3c047f2796 ","BrittonF       ","26-Mar-25 12:00:00 AM","01-Jan-00 11:52:49 AM","0","2","0","1","1","                                     ","276886"
"0\GL\Transaction Entry\10194264~19/04/2022                                                                                                                                                               ","34ab7815-5119-494d-9c2e-71af33b3ca5f ","ChangL         ","19-Apr-22 12:00:00 AM","01-Jan-00 11:47:58 AM","0","2","0","1","1","                                     ","167848"
"0\GL\Transaction Entry\10194977~19/04/2022                                                                                                                                                               ","fe5aac4f-4afb-4fa3-939a-9c6095e635bd ","WanY           ","19-Apr-22 12:00:00 AM","01-Jan-00 12:37:44 PM","0","2","0","1","1","                                     ","167857"
"0\GL\Transaction Entry\10197505~19/04/2022                                                                                                                                                               ","2a6ad164-b8f2-40eb-be8e-acaf4fe37429 ","ChangL         ","19-Apr-22 12:00:00 AM","01-Jan-00 3:40:56 PM","0","2","0","1","1","                                     ","167902"
"0\GL\Transaction Entry\10216713~20/04/2022                                                                                                                                                               ","04847ad6-a469-437c-99d7-15db06e892ad ","ChangL         ","20-Apr-22 12:00:00 AM","01-Jan-00 12:19:10 PM","0","2","0","1","1","                                     ","167976"
"0\GL\Transaction Entry\10337953~26/04/2022                                                                                                                                                               ","34b8b30c-6b5c-422d-b6be-2d69b20cf283 ","WanY           ","26-Apr-22 12:00:00 AM","01-Jan-00 5:42:24 PM","0","2","0","1","1","                                     ","168445"
"0\GL\Transaction Entry\10355933~27/04/2022                                                                                                                                                               ","d1a16c27-9d06-4893-b469-4ae946e03396 ","ChangL         ","27-Apr-22 12:00:00 AM","01-Jan-00 12:38:49 PM","0","2","0","1","1","                                     ","168515"
"0\GL\Transaction Entry\10358945~27/04/2022                                                                                                                                                               ","9ce10469-9adb-4795-b564-511aab65c308 ","WanY           ","27-Apr-22 12:00:00 AM","01-Jan-00 4:11:39 PM","0","2","0","1","1","                                     ","168537"
"0\GL\Transaction Entry\10359054~27/04/2022                                                                                                                                                               ","18c1b961-8c20-47be-9945-ab18da865895 ","ChangL         ","27-Apr-22 12:00:00 AM","01-Jan-00 4:19:25 PM","0","2","0","1","1","                                     ","168551"
